name,artist,performance,chroma,mode,onsets,length,onsetrate
Bach_WTC1_Leonhardt_Prelude_6_Minor (H1).wav,Leonhardt,H1,6,Minor,158,30.6459863945578,5.1556506606052
Bach_WTC1_Leonhardt_Prelude_7_Major (H1).wav,Leonhardt,H1,7,Major,201,28.9749886621315,6.93701738226025
Bach_WTC1_Leonhardt_Prelude_7_Minor (H1).wav,Leonhardt,H1,7,Minor,226,40.3289795918367,5.60391069368257
Bach_WTC1_Leonhardt_Prelude_8_Major (H1).wav,Leonhardt,H1,8,Major,75,19.83,3.7821482602118
Bach_WTC1_Leonhardt_Prelude_8_Minor (H1).wav,Leonhardt,H1,8,Minor,118,29.6589795918367,3.97855899373146
Bach_WTC1_Leonhardt_Prelude_9_Major (H1).wav,Leonhardt,H1,9,Major,147,32.7449886621315,4.4892365520957
Bach_WTC1_Leonhardt_Prelude_9_Minor (H1).wav,Leonhardt,H1,9,Minor,113,20.0629931972789,5.63226029580302
Bach_WTC1_Martins_Prelude_0_Major (P1).wav,Martins,P1,0,Major,136,28.1350113378685,4.83383491006275
Bach_WTC1_Martins_Prelude_0_Minor (P1).wav,Martins,P1,0,Minor,131,16.5119954648526,7.93362621003902
Bach_WTC1_Martins_Prelude_10_Major (P1).wav,Martins,P1,10,Major,190,24.1580045351474,7.86488800114139
Bach_WTC1_Martins_Prelude_10_Minor (P1).wav,Martins,P1,10,Minor,102,58.5029931972789,1.74350053605025
Bach_WTC1_Martins_Prelude_11_Major (P1).wav,Martins,P1,11,Major,135,22.6329931972789,5.96474354157587
Bach_WTC1_Martins_Prelude_11_Minor (P1).wav,Martins,P1,11,Minor,99,29.8239909297052,3.31947525847033
Bach_WTC1_Martins_Prelude_1_Major (P1).wav,Martins,P1,1,Major,50,6.8809977324263,7.26638809432793
Bach_WTC1_Martins_Prelude_1_Minor (P1).wav,Martins,P1,1,Minor,99,31.9609977324263,3.09752532848994
Bach_WTC1_Martins_Prelude_2_Major (P1).wav,Martins,P1,2,Major,127,15.1850113378685,8.36351038364302
Bach_WTC1_Martins_Prelude_2_Minor (P1).wav,Martins,P1,2,Minor,174,27.7239909297052,6.27615268094629
Bach_WTC1_Martins_Prelude_3_Major (P1).wav,Martins,P1,3,Major,163,34.7563945578231,4.6897844863863
Bach_WTC1_Martins_Prelude_3_Minor (P1).wav,Martins,P1,3,Minor,71,57.3390022675737,1.2382496589089
Bach_WTC1_Martins_Prelude_4_Major (P1).wav,Martins,P1,4,Major,144,32.7009977324263,4.40353536544268
Bach_WTC1_Martins_Prelude_4_Minor (P1).wav,Martins,P1,4,Minor,115,50.89,2.25977598742386
Bach_WTC1_Martins_Prelude_5_Major (P1).wav,Martins,P1,5,Major,196,28.0270068027211,6.99325480525344
Bach_WTC1_Martins_Prelude_5_Minor (P1).wav,Martins,P1,5,Minor,174,61.96,2.80826339573919
Bach_WTC1_Martins_Prelude_6_Major (P1).wav,Martins,P1,6,Major,105,29.7239909297052,3.53250006865889
Bach_WTC1_Martins_Prelude_6_Minor (P1).wav,Martins,P1,6,Minor,119,18.3780045351474,6.47513171369699
Bach_WTC1_Martins_Prelude_7_Major (P1).wav,Martins,P1,7,Major,165,19.7060090702948,8.37308048582623
Bach_WTC1_Martins_Prelude_7_Minor (P1).wav,Martins,P1,7,Minor,184,49.1950113378685,3.74021663977875
Bach_WTC1_Martins_Prelude_8_Major (P1).wav,Martins,P1,8,Major,60,15.7339909297052,3.81339993572274
Bach_WTC1_Martins_Prelude_8_Minor (P1).wav,Martins,P1,8,Minor,110,31.81,3.45803206538824
Bach_WTC1_Martins_Prelude_9_Major (P1).wav,Martins,P1,9,Major,108,27.2809977324263,3.95879949330558
Bach_WTC1_Martins_Prelude_9_Minor (P1).wav,Martins,P1,9,Minor,102,15.7209977324263,6.48813782280584
Bach_WTC1_Newman_Prelude_0_Major (H1).wav,Newman,H1,0,Major,142,25.2529931972789,5.6230958005921
Bach_WTC1_Newman_Prelude_0_Major (H3).wav,Newman,H3,0,Major,159,26.8719954648526,5.91694056394007
Bach_WTC1_Newman_Prelude_0_Major (P2).wav,Newman,P2,0,Major,82,23.7229931972789,3.45656213438554
Bach_WTC1_Newman_Prelude_0_Minor (H1).wav,Newman,H1,0,Minor,142,26.3859863945578,5.38164455467497
Bach_WTC1_Newman_Prelude_0_Minor (H3).wav,Newman,H3,0,Minor,173,24.6549886621315,7.01683551230818
Bach_WTC1_Newman_Prelude_0_Minor (P2).wav,Newman,P2,0,Minor,101,17.5879818594104,5.74255766280314
