,filename,mirmode_essentia-cqt,mirmode_essentia-sftf,mirmode_MIRtoolbox-std,mirmode_MIRtoolbox-dir,mirmode_librosa-cqt,mirmode_librosa-stft,mirmode_librosa-cens,mirmode_librosa-vqt
0,audio/bachDemaria2015/Bach_1_De-Maria_3_Major_bachDemaria2015.wav,0.212266805,-0.045791604,-0.017758403,-0.017758404,0.171405988,-0.08363501,0.190115032,0.158206769
0,audio/bachDemaria2015/Bach_1_De-Maria_3_minor_bachDemaria2015.wav,-0.057078572,0.203548913,0.071001276,0.071001276,0.013841922,0.015643945,0.063189335,0.034735671
0,audio/bachDemaria2015/Bach_1_De-Maria_4_Major_bachDemaria2015.wav,-0.101116338,0.106252909,0.150723005,0.150723005,0.062757497,0.051833225,-0.002298569,-0.114444088
0,audio/bachDemaria2015/Bach_1_De-Maria_4_minor_bachDemaria2015.wav,-0.179121196,-0.26237322,-0.050682806,-0.050682806,-0.073339577,-0.059875133,-0.057937949,-0.069032633
0,audio/bachDemaria2015/Bach_1_De-Maria_5_Major_bachDemaria2015.wav,-0.246887877,-0.307069501,-0.168626938,-0.168626939,-0.036359506,-0.113916459,-0.019728528,-0.198801533
0,audio/bachDemaria2015/Bach_1_De-Maria_5_minor_bachDemaria2015.wav,0.134289135,0.215813912,-0.014536955,-0.014536956,-0.006949532,0.019812908,-0.029139678,0.172458049
0,audio/bachDemaria2015/Bach_1_De-Maria_6_Major_bachDemaria2015.wav,-0.032234939,0.245209082,0.250537651,0.250537651,0.249691028,0.150758482,0.235810891,-0.013192141
0,audio/bachDemaria2015/Bach_1_De-Maria_6_minor_bachDemaria2015.wav,-0.093935751,-0.056854742,0.093587969,0.093587968,-0.045111123,-0.107109934,-0.036137553,-0.08398587
0,audio/bachDemaria2015/Bach_1_De-Maria_7_Major_bachDemaria2015.wav,-0.046098903,-0.10894514,0.057808261,0.05780826,0.052587221,0.153277238,0.046501178,0.066595716
0,audio/bachDemaria2015/Bach_1_De-Maria_7_minor_bachDemaria2015.wav,0.056137873,-0.065076153,0.083156187,0.083156186,-0.044241254,-0.24683799,-0.062546035,-0.008753597
0,audio/bachDemaria2015/Bach_1_De-Maria_8_Major_bachDemaria2015.wav,0.167927381,0.164055159,0.335382468,0.335382468,0.161256773,0.224623145,0.113090368,0.136658128
0,audio/bachDemaria2015/Bach_1_De-Maria_8_minor_bachDemaria2015.wav,-0.196627566,-0.292585696,-0.059732466,-0.059732466,-0.036258446,-0.071480085,0.040448239,-0.189554067
