,filename,onsets_essentia-hfc,onsets_essentia-complex,onsets_essentia-phase,onsets_essentia-flux,onsets_essentia-melflux,onsets_essentia-rms,onsets_MIRtoolbox-std,onsets_librosa-std
0,audio/bachBarenboim2006/Bach_1_Barenboim_9_minor_bachBarenboim2006.wav,70,82,79,80,104,104,92,71
0,audio/bachDemaria2015/Bach_1_De-Maria_0_Major_bachDemaria2015.wav,65,125,143,131,160,191,147,138
0,audio/bachDemaria2015/Bach_1_De-Maria_0_minor_bachDemaria2015.wav,60,109,98,108,131,134,124,89
0,audio/bachDemaria2015/Bach_1_De-Maria_10_Major_bachDemaria2015.wav,93,150,146,152,209,200,170,224
0,audio/bachDemaria2015/Bach_1_De-Maria_10_minor_bachDemaria2015.wav,90,94,91,120,229,160,103,89
0,audio/bachDemaria2015/Bach_1_De-Maria_11_Major_bachDemaria2015.wav,63,101,121,109,138,169,126,123
0,audio/bachDemaria2015/Bach_1_De-Maria_11_minor_bachDemaria2015.wav,53,67,82,71,109,105,71,67
0,audio/bachDemaria2015/Bach_1_De-Maria_1_Major_bachDemaria2015.wav,25,40,25,38,47,41,29,48
0,audio/bachDemaria2015/Bach_1_De-Maria_1_minor_bachDemaria2015.wav,77,93,102,104,140,139,83,100
0,audio/bachDemaria2015/Bach_1_De-Maria_2_Major_bachDemaria2015.wav,78,114,89,112,125,128,103,130
0,audio/bachDemaria2015/Bach_1_De-Maria_2_minor_bachDemaria2015.wav,96,132,108,136,185,187,114,169
0,audio/bachDemaria2015/Bach_1_De-Maria_3_Major_bachDemaria2015.wav,105,136,140,138,167,188,140,148
0,audio/bachDemaria2015/Bach_1_De-Maria_3_minor_bachDemaria2015.wav,68,77,77,94,161,118,74,75
0,audio/bachDemaria2015/Bach_1_De-Maria_4_Major_bachDemaria2015.wav,85,104,94,112,136,127,90,112
0,audio/bachDemaria2015/Bach_1_De-Maria_4_minor_bachDemaria2015.wav,110,149,105,150,203,192,123,152
0,audio/bachDemaria2015/Bach_1_De-Maria_5_Major_bachDemaria2015.wav,80,136,146,132,185,196,150,188
0,audio/bachDemaria2015/Bach_1_De-Maria_5_minor_bachDemaria2015.wav,108,137,185,154,226,252,164,167
0,audio/bachDemaria2015/Bach_1_De-Maria_6_Major_bachDemaria2015.wav,92,106,92,108,134,127,88,113
