,filename,centroid_essentia-std,centroid_MIRtoolbox-std,centroid_librosa-std
0,audio/bachDemus1970/Bach_1_Demus_0_Major_bachDemus1970.wav,520.8724365,1040.691731,642.5042659
0,audio/bachDemus1970/Bach_1_Demus_0_minor_bachDemus1970.wav,467.3843079,786.3375658,611.5229828
0,audio/bachDemus1970/Bach_1_Demus_10_Major_bachDemus1970.wav,577.1309204,890.8038469,724.6160263
0,audio/bachDemus1970/Bach_1_Demus_10_minor_bachDemus1970.wav,612.0430908,1004.760409,727.8887386
0,audio/bachDemus1970/Bach_1_Demus_11_Major_bachDemus1970.wav,532.8826294,865.54995,630.9921062
0,audio/bachDemus1970/Bach_1_Demus_11_minor_bachDemus1970.wav,550.4595947,980.4885892,680.2490981
0,audio/bachDemus1970/Bach_1_Demus_1_Major_bachDemus1970.wav,650.3654175,935.0001604,770.6171814
0,audio/bachDemus1970/Bach_1_Demus_1_minor_bachDemus1970.wav,590.2530518,1000.158546,745.2864302
0,audio/bachDemus1970/Bach_1_Demus_2_Major_bachDemus1970.wav,582.8050537,909.2170629,755.3666158
0,audio/bachDemus1970/Bach_1_Demus_2_minor_bachDemus1970.wav,586.1019287,901.3855669,668.610154
0,audio/bachDemus1970/Bach_1_Demus_3_Major_bachDemus1970.wav,658.3755493,1091.07673,814.5539136
0,audio/bachDemus1970/Bach_1_Demus_3_minor_bachDemus1970.wav,585.8374023,1029.622936,824.7547778
0,audio/bachDemus1970/Bach_1_Demus_4_Major_bachDemus1970.wav,582.5762939,951.9277718,701.335324
0,audio/bachDemus1970/Bach_1_Demus_4_minor_bachDemus1970.wav,656.649292,1058.103211,745.8166607
0,audio/bachDemus1970/Bach_1_Demus_5_Major_bachDemus1970.wav,544.1050415,792.4479051,682.7668939
0,audio/bachDemus1970/Bach_1_Demus_5_minor_bachDemus1970.wav,534.9874878,832.3030045,637.1154511
0,audio/bachDemus1970/Bach_1_Demus_6_Major_bachDemus1970.wav,579.2131348,1049.281125,722.9509231
0,audio/bachDemus1970/Bach_1_Demus_6_minor_bachDemus1970.wav,579.4904175,889.1477179,755.3004718
0,audio/bachDemus1970/Bach_1_Demus_7_Major_bachDemus1970.wav,580.0090332,893.1428124,739.9756914
0,audio/bachDemus1970/Bach_1_Demus_7_minor_bachDemus1970.wav,610.5240479,1010.192352,711.0899173
0,audio/bachDemus1970/Bach_1_Demus_8_Major_bachDemus1970.wav,654.5289917,1083.691164,877.8182568
0,audio/bachDemus1970/Bach_1_Demus_8_minor_bachDemus1970.wav,557.8406982,1007.493076,725.6400027
0,audio/bachDemus1970/Bach_1_Demus_9_Major_bachDemus1970.wav,652.815918,972.090818,770.1170451
0,audio/bachDemus1970/Bach_1_Demus_9_minor_bachDemus1970.wav,633.9081421,922.637783,808.4041874
0,audio/bachFischer1934/Bach_1_Fischer_0_Major_bachFischer1934.wav,636.946167,1270.714719,967.1997778
0,audio/bachFischer1934/Bach_1_Fischer_0_minor_bachFischer1934.wav,480.5970154,951.2523601,834.5372828
0,audio/bachFischer1934/Bach_1_Fischer_10_Major_bachFischer1934.wav,584.0109253,1307.125905,1013.306107
0,audio/bachFischer1934/Bach_1_Fischer_10_minor_bachFischer1934.wav,578.355957,1204.517924,976.8456083
0,audio/bachFischer1934/Bach_1_Fischer_11_Major_bachFischer1934.wav,600.3173218,2231.67144,1508.586782
0,audio/bachFischer1934/Bach_1_Fischer_11_minor_bachFischer1934.wav,489.9477234,1253.16818,847.9005883
0,audio/bachFischer1934/Bach_1_Fischer_1_Major_bachFischer1934.wav,692.3377686,1636.908783,1112.570804
0,audio/bachFischer1934/Bach_1_Fischer_1_minor_bachFischer1934.wav,528.7323608,1527.599275,1291.901519
0,audio/bachFischer1934/Bach_1_Fischer_2_Major_bachFischer1934.wav,633.916748,1146.667949,1002.15276
0,audio/bachFischer1934/Bach_1_Fischer_2_minor_bachFischer1934.wav,528.7664795,1154.366595,838.3066504
0,audio/bachFischer1934/Bach_1_Fischer_3_Major_bachFischer1934.wav,630.9688721,1098.907392,946.8897738
0,audio/bachFischer1934/Bach_1_Fischer_3_minor_bachFischer1934.wav,594.6922607,1578.818464,1214.246549
0,audio/bachFischer1934/Bach_1_Fischer_4_Major_bachFischer1934.wav,589.0205688,1102.47003,946.4908077
0,audio/bachFischer1934/Bach_1_Fischer_4_minor_bachFischer1934.wav,629.8914185,1255.670246,947.8654432
0,audio/bachFischer1934/Bach_1_Fischer_5_Major_bachFischer1934.wav,576.5979614,902.455663,832.120208
0,audio/bachFischer1934/Bach_1_Fischer_5_minor_bachFischer1934.wav,551.8890991,900.1967825,816.6398706
0,audio/bachFischer1934/Bach_1_Fischer_6_Major_bachFischer1934.wav,577.617981,1381.136344,1052.225169
0,audio/bachFischer1934/Bach_1_Fischer_6_minor_bachFischer1934.wav,585.7628784,928.9467628,899.1843648
