composer,set,setCode,pieceNumber,compSet,keyName,mode,keyChroma,pieceID,snippitName,,pieceTitle,excerptID,pickUpLength,notes
Kalkbrenner,1,kalkbrenner-1,8,kalkbrenner1.8,Eb,minor,3,m3,kalkbren1.3min,,,330,,
Kalkbrenner,1,kalkbrenner-1,9,kalkbrenner1.9,E,Major,4,M4,kalkbren1.4maj,,,331,,
Kalkbrenner,1,kalkbrenner-1,10,kalkbrenner1.10,E,minor,4,m4,kalkbren1.4min,,,332,,
Kalkbrenner,1,kalkbrenner-1,11,kalkbrenner1.11,F,Major,5,M5,kalkbren1.5maj,,,333,,
Kalkbrenner,1,kalkbrenner-1,12,kalkbrenner1.12,F,minor,5,m5,kalkbren1.5min,,,334,,
Kalkbrenner,1,kalkbrenner-1,13,kalkbrenner1.13,Gb/F#,Major,#N/A,#N/A,#N/A,,,335,,key change midway
Kalkbrenner,1,kalkbrenner-1,14,kalkbrenner1.14,F#,minor,6,m6,kalkbren1.6min,,,336,,
Kalkbrenner,1,kalkbrenner-1,15,kalkbrenner1.15,G,Major,7,M7,kalkbren1.7maj,,,337,,
Kalkbrenner,1,kalkbrenner-1,16,kalkbrenner1.16,G,minor,7,m7,kalkbren1.7min,,,338,,
Kalkbrenner,1,kalkbrenner-1,17,kalkbrenner1.17,Ab,Major,8,M8,kalkbren1.8maj,,,339,0.33,
Kalkbrenner,1,kalkbrenner-1,18,kalkbrenner1.18,G#,minor,8,m8,kalkbren1.8min,,,340,0.25,
Kalkbrenner,1,kalkbrenner-1,19,kalkbrenner1.19,A,Major,9,M9,kalkbren1.9maj,,,341,,
Kalkbrenner,1,kalkbrenner-1,20,kalkbrenner1.20,A,minor,9,m9,kalkbren1.9min,,,342,,
Kalkbrenner,1,kalkbrenner-1,21,kalkbrenner1.21,Bb,Major,10,M10,kalkbren1.10maj,,,343,,
Kalkbrenner,1,kalkbrenner-1,22,kalkbrenner1.22,Bb,minor,10,m10,kalkbren1.10min,,,344,,
Kalkbrenner,1,kalkbrenner-1,23,kalkbrenner1.23,B,Major,11,M11,kalkbren1.11maj,,,345,,
Kalkbrenner,1,kalkbrenner-1,24,kalkbrenner1.24,B,minor,11,m11,kalkbren1.11min,,,346,,
Kalkbrenner,2,kalkbrenner-2,1,kalkbrenner2.1,C,Major,0,M0,kalkbren2.0maj,,,348,,
Kalkbrenner,2,kalkbrenner-2,2,kalkbrenner2.2,C,minor,0,m0,kalkbren2.0min,,,349,,
Kalkbrenner,2,kalkbrenner-2,3,kalkbrenner2.3,Db,Major,1,M1,kalkbren2.1maj,,,350,,
Kalkbrenner,2,kalkbrenner-2,4,kalkbrenner2.4,C#,minor,1,m1,kalkbren2.1min,,,351,,
Kalkbrenner,2,kalkbrenner-2,5,kalkbrenner2.5,D,Major,2,M2,kalkbren2.2maj,,,352,,
Kalkbrenner,2,kalkbrenner-2,6,kalkbrenner2.6,D,minor,2,m2,kalkbren2.2min,,,353,,
Kalkbrenner,2,kalkbrenner-2,7,kalkbrenner2.7,Eb,Major,3,M3,kalkbren2.3maj,,,354,,
Kalkbrenner,2,kalkbrenner-2,8,kalkbrenner2.8,Eb,minor,3,m3,kalkbren2.3min,,,355,,
Kalkbrenner,2,kalkbrenner-2,9,kalkbrenner2.9,E,Major,4,M4,kalkbren2.4maj,,,356,,
